host_fqdn,esx_datastore_name,datacenter_name,vm_guest_name,template,ip_addr,dns_server_1,dns_server_2,gateway,netmask,domain,network_adapter,network_device_type,folder,dns_state,dns_zone
esxlab.bpic.mainline.com,ansible1_esx,Datacenter,ansible-lab-guest-1,ansible-rhel92-template,10.140.0.194,10.125.0.11,10.125.0.12,10.140.0.1,255.255.255.0,bpic.mainline.com,VLAN 140,vmxnet3,/ansible-lab-demos/ansible-lab-demo-vms/,present,0.140.10.in-addr.arpa
esxlab.bpic.mainline.com,ansible2_esx,Datacenter,ansible-lab-guest-2,ansible-rhel92-template,10.140.0.195,10.125.0.11,10.125.0.12,10.140.0.1,255.255.255.0,bpic.mainline.com,VLAN 140,vmxnet3,/ansible-lab-demos/ansible-lab-demo-vms/,present,0.140.10.in-addr.arpa
esxlab.bpic.mainline.com,ansible5_esx,Datacenter,ansible-lab-guest-5,ansible-rhel92-template,10.140.0.196,10.125.0.11,10.125.0.12,10.140.0.1,255.255.255.0,bpic.mainline.com,VLAN 140,vmxnet3,/ansible-lab-demos/ansible-lab-demo-vms/,present,0.140.10.in-addr.arpa
